chr	start	end	probeID	score	strand	targetENSG	targetHGNC	targetEntrez	targetBiotype	targetENSName
chr1	2728977	2729027	ILMN_1915752	37	-	ENSG00000233234	NA		lincRNA	RP11-740P5.2
chr1	2939310	2939360	ILMN_3241416	37	+	ENSG00000169717	ACTRT2	140625	protein_coding	ACTRT2
chr1	3348524	3348574	ILMN_1655387	37	+	ENSG00000142611	PRDM16	63976	protein_coding	PRDM16
chr1	3350242	3350292	ILMN_1784094	37	+	ENSG00000142611	PRDM16	63976	protein_coding	PRDM16
chr1	3350319	3350369	ILMN_1697631	37	+	ENSG00000142611	PRDM16	63976	protein_coding	PRDM16
chr1	3354754	3354804	ILMN_2343264	37	+	ENSG00000142611	PRDM16	63976	protein_coding	PRDM16
chr1	3397603	3397653	ILMN_1669928	37	+	ENSG00000130762	ARHGEF16	27237	protein_coding	ARHGEF16
chr1	3477259	3477309	ILMN_3310668	37	-	ENSG00000207776	MIR551A	693135	miRNA	MIR551A
chr1	3546572	3546622	ILMN_1727479	37	+	ENSG00000158109	TPRG1L	127262	protein_coding	TPRG1L
chr1	3649571	3649621	ILMN_1778188	37	+	ENSG00000078900	TP73	7161	protein_coding	TP73
chr1	3688043	3688093	ILMN_1811167	37	+	ENSG00000162592	CCDC27	148870	protein_coding	CCDC27
chr1	3696952	3697002	ILMN_1668484	37	-	ENSG00000130764	LRRC47	57470	protein_coding	LRRC47
chr1	3801593	3801643	ILMN_2384133	37	+	ENSG00000169598	DFFB	1677	protein_coding	DFFB
chr1	3801653	3801703	ILMN_1678962	37	+	ENSG00000169598	DFFB	1677	protein_coding	DFFB
chr1	3805915	3805965	ILMN_3236244	37	-	ENSG00000198912	C1orf174	339448	protein_coding	C1orf174
chr1	4832522	4832572	ILMN_2312764	37	+	ENSG00000196581	AJAP1	55966	protein_coding	AJAP1
chr1	4837569	4837619	ILMN_2242299	37	+	ENSG00000196581	AJAP1	55966	protein_coding	AJAP1
chr1	4843701	4843751	ILMN_1723521	37	+	ENSG00000196581	AJAP1	55966	protein_coding	AJAP1
chr1	5923176	5923226	ILMN_2219512	37	-	ENSG00000131697	NPHP4	261734	protein_coding	NPHP4
chr1	5923307	5923357	ILMN_1808417	37	-	ENSG00000131697	NPHP4	261734	protein_coding	NPHP4
chr1	6159944	6159994	ILMN_2342762	37	+	ENSG00000069424	KCNAB2	8514	protein_coding	KCNAB2
chr1	6160292	6160342	ILMN_1725496	37	+	ENSG00000069424	KCNAB2	8514	protein_coding	KCNAB2
chr1	6161908	6161958	ILMN_1698148	37	-	ENSG00000116254	CHD5	26038	protein_coding	CHD5
chr1	6245558	6245608	ILMN_2079386	37	-	ENSG00000116251	RPL22	6146	protein_coding	RPL22
chr1	6281004	6281054	ILMN_3237503	37	+	ENSG00000158286	RNF207	388591	protein_coding	RNF207
chr1	6281466	6281516	ILMN_1723021	37	-	ENSG00000116237	ICMT	23463	protein_coding	ICMT
chr1	6294465	6294515	ILMN_1744500	37	-	ENSG00000116237	ICMT	23463	protein_coding	ICMT
chr1	6308939	6308989	ILMN_2146495	37	-	ENSG00000158292	GPR153	387509	protein_coding	GPR153
chr1	6324344	6324394	ILMN_1740265	37	-	ENSG00000097021	ACOT7	11332	protein_coding	ACOT7
chr1	6341246	6341296	ILMN_2332250	37	-	ENSG00000097021	ACOT7	11332	protein_coding	ACOT7
chr1	6342858	6342908	ILMN_1728883	37	-	ENSG00000097021	ACOT7	11332	protein_coding	ACOT7
chr1	6418887	6418937	ILMN_1784756	37	-	ENSG00000097021	ACOT7	11332	protein_coding	ACOT7
chr1	6420630	6420680	ILMN_1788078	37	-	ENSG00000097021	ACOT7	11332	protein_coding	ACOT7
chr1	6445558	6445608	ILMN_1719178	37	-	ENSG00000097021	ACOT7	11332	protein_coding	ACOT7
chr1	6453776	6453826	ILMN_2252621	37	-	ENSG00000097021	ACOT7	11332	protein_coding	ACOT7
chr1	6475536	6475586	ILMN_2094266	37	-	ENSG00000069812	HES2	54626	protein_coding	HES2
chr1	6475770	6475820	ILMN_1709870	37	-	ENSG00000069812	HES2	54626	protein_coding	HES2
chr1	6520907	6520957	ILMN_1806710	37	+	ENSG00000187017	ESPN	83715	protein_coding	ESPN
chr1	6521427	6521477	ILMN_1765109	37	-	ENSG00000215788	TNFRSF25	8718	protein_coding	TNFRSF25
chr1	6525525	6525575	ILMN_2299661	37	-	ENSG00000215788	TNFRSF25	8718	protein_coding	TNFRSF25
chr1	6526981	6527031	ILMN_1784477	37	-	ENSG00000171680	PLEKHG5	57449	protein_coding	PLEKHG5
chr1	6550509	6550559	ILMN_2297644	37	-	ENSG00000171680	PLEKHG5	57449	protein_coding	PLEKHG5
chr1	6551710	6551760	ILMN_1738680	37	-	ENSG00000171680	PLEKHG5	57449	protein_coding	PLEKHG5
chr1	6579612	6579662	ILMN_1780047	37	-	ENSG00000171680	PLEKHG5	57449	protein_coding	PLEKHG5
chr1	6585486	6585536	ILMN_1761181	37	-	ENSG00000162408	NOL9	79707	protein_coding	NOL9
chr1	6639522	6639572	ILMN_1805197	37	+	ENSG00000173662	TAS1R1	80835	protein_coding	TAS1R1
chr1	6649289	6649339	ILMN_1801101	37	+	ENSG00000204859	ZBTB48	3104	protein_coding	ZBTB48
chr1	6651211	6651261	ILMN_1692785	37	-	ENSG00000162413	KLHL21	9903	protein_coding	KLHL21
chr1	6683834	6683884	ILMN_1761560	37	+	ENSG00000116273	PHF13	148479	protein_coding	PHF13
chr1	6697307	6697357	ILMN_1747903	37	-	ENSG00000007923	DNAJC11	55735	protein_coding	DNAJC11
chr1	7829472	7829522	ILMN_1661940	37	+	ENSG00000171735	CAMTA1	23261	protein_coding	CAMTA1
chr1	7841232	7841282	ILMN_1714527	37	+	ENSG00000049245	VAMP3	9341	protein_coding	VAMP3
chr1	7904854	7904904	ILMN_1660986	37	+	ENSG00000049246	PER3	8863	protein_coding	PER3
chr1	7910889	7910939	ILMN_1671818	37	-	ENSG00000049247	UTS2	10911	protein_coding	UTS2
chr1	7913037	7913087	ILMN_1775780	37	-	ENSG00000049247	UTS2	10911	protein_coding	UTS2
chr1	7913366	7913416	ILMN_2236625	37	-	ENSG00000049247	UTS2	10911	protein_coding	UTS2
chr1	7913503	7913553	ILMN_1732198	37	-	ENSG00000049247	UTS2	10911	protein_coding	UTS2
chr1	7979975	7980025	ILMN_1813379	37	-	ENSG00000049249	TNFRSF9	3604	protein_coding	TNFRSF9
chr1	8045044	8045094	ILMN_1744713	37	+	ENSG00000116288	PARK7	11315	protein_coding	PARK7
chr1	8072103	8072153	ILMN_1665510	37	-	ENSG00000116285	ERRFI1	54206	protein_coding	ERRFI1
chr1	8404146	8404196	ILMN_2324162	37	+	ENSG00000162426	SLC45A1	50651	protein_coding	SLC45A1
chr1	8412757	8412807	ILMN_1802380	37	-	ENSG00000142599	RERE	473	protein_coding	RERE
chr1	8412830	8412880	ILMN_2327795	37	-	ENSG00000142599	RERE	473	protein_coding	RERE
chr1	8852589	8852639	ILMN_2250126	37	-	ENSG00000142599	RERE	473	protein_coding	RERE
chr1	8939788	8939838	ILMN_1896149	37	+	ENSG00000230679	NA		antisense	ENO1-AS1
chr1	9034887	9034937	ILMN_1708790	37	+	ENSG00000131686	CA6	765	protein_coding	CA6
chr1	9063385	9063435	ILMN_1707370	37	-	ENSG00000197241	SLC2A7	155184	protein_coding	SLC2A7
chr1	9097351	9097401	ILMN_1671337	37	-	ENSG00000142583	SLC2A5	6518	protein_coding	SLC2A5
chr1	9164501	9164551	ILMN_1654703	37	-	ENSG00000180758	GPR157	80045	protein_coding	GPR157
chr1	9211730	9211780	ILMN_3308455	37	-	ENSG00000207865	MIR34A	407040	miRNA	MIR34A
chr1	9330827	9330877	ILMN_1721136	37	+	ENSG00000049239	H6PD	9563	protein_coding	H6PD
chr1	9331110	9331160	ILMN_2198823	37	+	ENSG00000049239	H6PD	9563	protein_coding	H6PD
chr1	9429361	9429411	ILMN_1714170	37	+	ENSG00000171621	SPSB1	80176	protein_coding	SPSB1
chr1	9561374	9561424	ILMN_1866952	37	-	ENSG00000235263	NA		lincRNA	RP13-392I16.1
chr1	9642641	9642691	ILMN_1685974	37	+	ENSG00000171612	SLC25A33	84275	protein_coding	SLC25A33
chr1	9664672	9664722	ILMN_1738420	37	+	ENSG00000188807	TMEM201	199953	protein_coding	TMEM201
chr1	9788597	9788647	ILMN_1766275	37	+	ENSG00000171608	PIK3CD	5293	protein_coding	PIK3CD
chr1	9789249	9789299	ILMN_2415179	37	-	ENSG00000171603	CLSTN1	22883	protein_coding	CLSTN1
chr1	9791851	9791901	ILMN_1720181	37	-	ENSG00000171603	CLSTN1	22883	protein_coding	CLSTN1
chr1	9908549	9908599	ILMN_1688103	37	-	ENSG00000178585	CTNNBIP1	56998	protein_coding	CTNNBIP1
chr1	9908948	9908998	ILMN_2381168	37	-	ENSG00000178585	CTNNBIP1	56998	protein_coding	CTNNBIP1
chr1	9989891	9989941	ILMN_1661627	37	-	ENSG00000162441	LZIC	84328	protein_coding	LZIC
chr1	10042591	10042641	ILMN_1692413	37	+	ENSG00000173614	NMNAT1	64802	protein_coding	NMNAT1
chr1	10075862	10075912	ILMN_1716465	37	+	ENSG00000162444	RBP7	116362	protein_coding	RBP7
chr1	10240977	10241027	ILMN_1675674	37	+	ENSG00000130939	UBE4B	10277	protein_coding	UBE4B
chr1	10366703	10366753	ILMN_1743034	37	+	ENSG00000054523	KIF1B	23095	protein_coding	KIF1B
chr1	10441577	10441627	ILMN_1735552	37	+	ENSG00000054523	KIF1B	23095	protein_coding	KIF1B
chr1	10491265	10491315	ILMN_1788135	37	+	ENSG00000175279	APITD1	378708	protein_coding	APITD1
chr1	10493972	10494022	ILMN_1793360	37	+	ENSG00000175279	APITD1	378708	protein_coding	APITD1
chr1	10510244	10510294	ILMN_2071186	37	+	ENSG00000241563	CORT	1325	protein_coding	CORT
chr1	10520915	10520965	ILMN_2385220	37	-	ENSG00000160049	DFFA	1676	protein_coding	DFFA
chr1	10521406	10521456	ILMN_1667213	37	-	ENSG00000160049	DFFA	1676	protein_coding	DFFA
chr1	10690552	10690602	ILMN_1763634	37	+	ENSG00000142655	PEX14	5195	protein_coding	PEX14
chr1	10696529	10696579	ILMN_1896550	37	-	ENSG00000130940	NA		protein_coding	CASZ1
chr1	10697429	10697479	ILMN_2256953	37	-	ENSG00000130940	CASZ1	54897	protein_coding	CASZ1
chr1	10707300	10707350	ILMN_1655191	37	-	ENSG00000130940	CASZ1	54897	protein_coding	CASZ1
chr1	10707943	10707993	ILMN_2340202	37	-	ENSG00000130940	CASZ1	54897	protein_coding	CASZ1
chr1	11006682	11006732	ILMN_1744089	37	-	ENSG00000175262	C1orf127	148345	protein_coding	C1orf127
chr1	11085217	11085267	ILMN_1677532	37	+	ENSG00000120948	TARDBP	23435	protein_coding	TARDBP
chr1	11086851	11086901	ILMN_1709408	37	-	ENSG00000009724	MASP2	10747	protein_coding	MASP2
chr1	11104873	11104923	ILMN_1727723	37	-	ENSG00000009724	MASP2	10747	protein_coding	MASP2
chr1	11114789	11114839	ILMN_1661337	37	-	ENSG00000116649	SRM	6723	protein_coding	SRM
chr1	11126760	11126810	ILMN_1670796	37	-	ENSG00000171824	EXOSC10	5394	protein_coding	EXOSC10
chr1	11133999	11134049	ILMN_1711189	37	-	ENSG00000171824	EXOSC10	5394	protein_coding	EXOSC10
chr1	11255702	11255752	ILMN_1813361	37	+	ENSG00000171819	ANGPTL7	10218	protein_coding	ANGPTL7
chr1	11346259	11346309	ILMN_1651872	37	+	ENSG00000120942	UBIAD1	29914	protein_coding	UBIAD1
chr1	11597371	11597421	ILMN_1767927	37	+	ENSG00000204624	PTCHD2	57540	protein_coding	PTCHD2
chr1	11708632	11708682	ILMN_1803211	37	-	ENSG00000116661	FBXO2	26232	protein_coding	FBXO2
chr1	11715701	11715751	ILMN_1651597	37	+	ENSG00000132879	FBXO44	93611	protein_coding	FBXO44
chr1	11722569	11722619	ILMN_2325625	37	+	ENSG00000132879	FBXO44	93611	protein_coding	FBXO44
chr1	11722933	11722983	ILMN_1732182	37	+	ENSG00000132879	FBXO44	93611	protein_coding	FBXO44
chr1	11733995	11734045	ILMN_1701455	37	+	ENSG00000116663	FBXO6	26270	protein_coding	FBXO6
chr1	11734709	11734759	ILMN_1669550	37	-	ENSG00000116670	MAD2L2	10459	protein_coding	MAD2L2
chr1	11810572	11810622	ILMN_1802458	37	+	ENSG00000177674	AGTRAP	57085	protein_coding	AGTRAP
chr1	11846997	11847047	ILMN_1734830	37	-	ENSG00000177000	MTHFR	4524	protein_coding	MTHFR
chr1	11900202	11900252	ILMN_1808748	37	+	ENSG00000011021	CLCN6	1185	protein_coding	CLCN6
chr1	11902764	11902814	ILMN_1763036	37	+	ENSG00000011021	CLCN6	1185	protein_coding	CLCN6
chr1	11902927	11902977	ILMN_1741594	37	+	ENSG00000011021	CLCN6	1185	protein_coding	CLCN6
chr1	11905849	11905899	ILMN_1750386	37	-	ENSG00000175206	NPPA	4878	protein_coding	NPPA
chr1	12035518	12035568	ILMN_1684391	37	+	ENSG00000083444	PLOD1	5351	protein_coding	PLOD1
chr1	12073114	12073164	ILMN_1651385	37	+	ENSG00000116688	MFN2	9927	protein_coding	MFN2
chr1	12183786	12183836	ILMN_1770711	37	+	ENSG00000120949	TNFRSF8	943	protein_coding	TNFRSF8
chr1	12203937	12203987	ILMN_1659257	37	+	ENSG00000120949	TNFRSF8	943	protein_coding	TNFRSF8
chr1	12269127	12269177	ILMN_1764788	37	+	ENSG00000028137	TNFRSF1B	7133	protein_coding	TNFRSF1B
chr1	12398288	12398338	ILMN_2266228	37	+	ENSG00000048707	VPS13D	55187	protein_coding	VPS13D
chr1	12571304	12571354	ILMN_2356694	37	+	ENSG00000048707	VPS13D	55187	protein_coding	VPS13D
chr1	12571676	12571726	ILMN_1656840	37	+	ENSG00000048707	VPS13D	55187	protein_coding	VPS13D
chr1	12628133	12628183	ILMN_1752478	37	-	ENSG00000162496	DHRS3	9249	protein_coding	DHRS3
chr1	12726760	12726810	ILMN_1668851	37	+	ENSG00000204518	AADACL4	343066	protein_coding	AADACL4
chr1	12779478	12779528	ILMN_1660703	37	+	ENSG00000188984	AADACL3	126767	protein_coding	AADACL3
chr1	12820918	12820968	ILMN_1733298	37	+	ENSG00000157330	C1orf158	93190	protein_coding	C1orf158
chr1	12837760	12837810	ILMN_1809304	37	+	ENSG00000116726	PRAMEF12	390999	protein_coding	PRAMEF12
chr1	12884871	12884921	ILMN_3226405	37	-	ENSG00000204513	PRAMEF11	440560	protein_coding	PRAMEF11
chr1	12907693	12907743	ILMN_2154186	37	-	ENSG00000179172	HNRNPCL1	343069	protein_coding	HNRNPCL1
chr1	13801518	13801568	ILMN_1803801	37	-	ENSG00000162494	LRRC38	126755	protein_coding	LRRC38
chr1	13881664	13881714	ILMN_1805111	37	+	ENSG00000185658	BRWD1	54014	protein_coding	BRWD1
chr1	13943991	13944041	ILMN_2404903	37	+	ENSG00000162493	PDPN	10630	protein_coding	PDPN
chr1	13944351	13944401	ILMN_1670490	37	+	ENSG00000162493	PDPN	10630	protein_coding	PDPN
chr1	14108829	14108879	ILMN_1652992	37	+	ENSG00000116731	PRDM2	7799	protein_coding	PRDM2
chr1	14143009	14143059	ILMN_1779825	37	+	ENSG00000116731	PRDM2	7799	protein_coding	PRDM2
chr1	14151275	14151325	ILMN_2258543	37	+	ENSG00000116731	PRDM2	7799	protein_coding	PRDM2
chr1	15546655	15546705	ILMN_1674985	37	+	ENSG00000171729	TMEM51	55092	protein_coding	TMEM51
chr1	15724240	15724290	ILMN_3236432	37	+	ENSG00000142621	FHAD1	114827	protein_coding	FHAD1
chr1	15756620	15756670	ILMN_1761463	37	+	ENSG00000142634	EFHD2	79180	protein_coding	EFHD2
chr1	15812485	15812535	ILMN_1688458	37	+	ENSG00000215704	CELA2B	51032	protein_coding	CELA2B
chr1	15819062	15819112	ILMN_1718070	37	-	ENSG00000132906	CASP9	842	protein_coding	CASP9
chr1	15832485	15832535	ILMN_1786046	37	-	ENSG00000132906	CASP9	842	protein_coding	CASP9
chr1	15894482	15894532	ILMN_1717078	37	+	ENSG00000116138	DNAJC16	23341	protein_coding	DNAJC16
chr1	15899260	15899310	ILMN_1707169	37	-	ENSG00000116771	AGMAT	79814	protein_coding	AGMAT
chr1	15978305	15978355	ILMN_1775861	37	+	ENSG00000197312	DDI2	84301	protein_coding	DDI2
chr1	15988091	15988141	ILMN_1726704	37	+	ENSG00000215695	RSC1A1	6248	protein_coding	RSC1A1
chr1	15995218	15995268	ILMN_1900661	37	+	ENSG00000197312	NA		protein_coding	DDI2
chr1	16061115	16061165	ILMN_1683980	37	+	ENSG00000116786	PLEKHM2	23207	protein_coding	PLEKHM2
chr1	16067805	16067855	ILMN_1709399	37	+	ENSG00000162461	SLC25A34	284723	protein_coding	SLC25A34
chr1	16074145	16074195	ILMN_1703648	37	+	ENSG00000162460	TMEM82	388595	protein_coding	TMEM82
chr1	16085256	16085306	ILMN_1799471	37	+	ENSG00000162458	FBLIM1	54751	protein_coding	FBLIM1
chr1	16101199	16101249	ILMN_1691249	37	+	ENSG00000162458	FBLIM1	54751	protein_coding	FBLIM1
chr1	16101226	16101276	ILMN_2353143	37	+	ENSG00000162458	FBLIM1	54751	protein_coding	FBLIM1
chr1	16266721	16266771	ILMN_1802611	37	+	ENSG00000065526	SPEN	23013	protein_coding	SPEN
chr1	16268688	16268738	ILMN_1711048	37	-	ENSG00000116809	ZBTB17	7709	protein_coding	ZBTB17
chr1	16332948	16332998	ILMN_2066088	37	+	ENSG00000183888	C1orf64	149563	protein_coding	C1orf64
chr1	16360472	16360522	ILMN_2364072	37	+	ENSG00000186510	CLCNKA	1187	protein_coding	CLCNKA
chr1	16451294	16451344	ILMN_1699354	37	-	ENSG00000142627	EPHA2	1969	protein_coding	EPHA2
chr1	16524763	16524813	ILMN_1808999	37	-	ENSG00000142632	ARHGEF19	128272	protein_coding	ARHGEF19
chr1	16576689	16576739	ILMN_1756874	37	-	ENSG00000037637	FBXO42	54455	protein_coding	FBXO42
chr1	16725924	16725974	ILMN_1705337	37	-	ENSG00000187144	SPATA21	374955	protein_coding	SPATA21
chr1	16786198	16786248	ILMN_1749011	37	+	ENSG00000157191	NECAP2	55707	protein_coding	NECAP2
chr1	16890475	16890525	ILMN_2295987	37	-	ENSG00000219481	NBPF1	55672	protein_coding	NBPF1
chr1	16935085	16935135	ILMN_2410421	37	-	ENSG00000219481	NBPF1	55672	protein_coding	NBPF1
chr1	17012190	17012240	ILMN_1813240	37	-	ENSG00000173674	EIF1AX	1964	protein_coding	EIF1AX
chr1	17030586	17030636	ILMN_1814434	37	-	ENSG00000268869	ESPNP	284729	pseudogene	ESPNP
chr1	17299224	17299274	ILMN_1799672	37	+	ENSG00000058453	CROCC	9696	protein_coding	CROCC
chr1	17307086	17307136	ILMN_2245087	37	-	ENSG00000117122	MFAP2	4237	protein_coding	MFAP2
chr1	17312595	17312645	ILMN_1704164	37	-	ENSG00000159363	ATP13A2	23400	protein_coding	ATP13A2
chr1	17349128	17349178	ILMN_1667257	37	-	ENSG00000117118	SDHB	6390	protein_coding	SDHB
chr1	17395393	17395443	ILMN_1771223	37	-	ENSG00000117115	PADI2	11240	protein_coding	PADI2
chr1	17524010	17524060	ILMN_1894911	37	+	ENSG00000204362	NA		lincRNA	RP11-380J14.1
chr1	17570936	17570986	ILMN_1732323	37	+	ENSG00000142623	PADI1	29943	protein_coding	PADI1
chr1	17610476	17610526	ILMN_1758888	37	+	ENSG00000142619	PADI3	51702	protein_coding	PADI3
chr1	17690394	17690444	ILMN_1807529	37	+	ENSG00000159339	PADI4	23569	protein_coding	PADI4
chr1	17733423	17733473	ILMN_1720124	37	-	ENSG00000179051	RCC2	55920	protein_coding	RCC2
chr1	17939611	17939661	ILMN_1689770	37	+	ENSG00000074964	ARHGEF10L	55160	protein_coding	ARHGEF10L
chr1	18023825	18023875	ILMN_2389445	37	+	ENSG00000074964	ARHGEF10L	55160	protein_coding	ARHGEF10L
chr1	18024041	18024091	ILMN_1727205	37	+	ENSG00000074964	ARHGEF10L	55160	protein_coding	ARHGEF10L
